type;iocs;Verions
package;@tanstack/history;ÿ1.161.9,ÿ1.161.12
package;@tanstack/react-router;ÿ1.169.5,ÿ1.169.8
package;@tanstack/router-core;ÿ1.169.5,ÿ1.169.8
package;@tanstack/router-utils;ÿ1.161.11,ÿ1.161.14
package;@tanstack/router-plugin;ÿ1.167.38,ÿ1.167.41
package;@tanstack/virtual-file-routes;ÿ1.161.10,ÿ1.161.13
package;@tanstack/router-generator;ÿ1.166.45,ÿ1.166.48
package;@tanstack/start-server-core;ÿ1.167.33,ÿ1.167.36
package;@tanstack/start-client-core;ÿ1.168.5,ÿ1.168.8
package;@tanstack/start-storage-context;ÿ1.166.38,ÿ1.166.41
package;@tanstack/start-plugin-core;ÿ1.169.23,ÿ1.169.26
package;@tanstack/react-start-server;ÿ1.166.55,ÿ1.166.58
package;@tanstack/react-start-client;ÿ1.166.51,ÿ1.166.54
package;@tanstack/start-fn-stubs;ÿ1.161.9,ÿ1.161.12
package;@tanstack/react-start;ÿ1.167.68,ÿ1.167.71
package;@tanstack/react-start-rsc;ÿ0.0.47,ÿ0.0.50
package;@mistralai/mistralai;ÿ2.2.2,ÿ2.2.3,ÿ2.2.4
package;@tanstack/react-router-devtools;ÿ1.166.16,ÿ1.166.19
package;@tanstack/router-devtools-core;ÿ1.167.6,ÿ1.167.9
package;@tanstack/router-devtools;ÿ1.166.16,ÿ1.166.19
package;@tanstack/router-ssr-query-core;ÿ1.168.3,ÿ1.168.6
package;@tanstack/react-router-ssr-query;ÿ1.166.15,ÿ1.166.18
package;@tanstack/router-cli;ÿ1.166.46,ÿ1.166.49
package;@tanstack/zod-adapter;ÿ1.166.12,ÿ1.166.15
package;@tanstack/eslint-plugin-router;ÿ1.161.9
package;@tanstack/router-vite-plugin;ÿ1.166.53,ÿ1.166.56
package;@tanstack/nitro-v2-vite-plugin;ÿ1.154.12,ÿ1.154.15
package;@mistralai/mistralai-gcp;ÿ1.7.1,ÿ1.7.2,ÿ1.7.3
package;@tanstack/solid-router;ÿ1.169.5,ÿ1.169.8
package;@tanstack/solid-start;ÿ1.167.65,ÿ1.167.68
package;@tanstack/solid-start-client;ÿ1.166.50,ÿ1.166.53
package;@tanstack/solid-start-server;ÿ1.166.54,ÿ1.166.57
package;@tanstack/solid-router-devtools;ÿ1.166.16,ÿ1.166.19
package;@tanstack/start-static-server-functions;ÿ1.166.44,ÿ1.166.47
package;@tanstack/vue-router;ÿ1.169.5,ÿ1.169.8
package;@uipath/apollo-react;ÿ4.24.5
package;@tanstack/solid-router-ssr-query;ÿ1.166.15,ÿ1.166.18
package;safe-action;ÿ0.8.3,ÿ0.8.4
package;@tanstack/valibot-adapter;ÿ1.166.12,ÿ1.166.15
package;@tanstack/vue-start;ÿ1.167.61,ÿ1.167.64
package;@uipath/apollo-wind;ÿ2.16.2
package;@uipath/cli;ÿ1.0.1
package;@tanstack/vue-start-server;ÿ1.166.50,ÿ1.166.53
package;@squawk/types;ÿ0.8.2,ÿ0.8.3,ÿ0.8.4
package;@uipath/rpa-tool;ÿ0.9.5
package;@squawk/mcp;ÿ0.9.1,ÿ0.9.2,ÿ0.9.3,ÿ0.9.4
package;@tanstack/vue-start-client;ÿ1.166.46,ÿ1.166.49
package;@squawk/weather;ÿ0.5.6,ÿ0.5.7,ÿ0.5.8,ÿ0.5.9
package;@squawk/airspace;ÿ0.8.1,ÿ0.8.2,ÿ0.8.3,ÿ0.8.4
package;@squawk/icao-registry-data;ÿ0.8.4,ÿ0.8.5,ÿ0.8.6,ÿ0.8.7
package;@tanstack/arktype-adapter;ÿ1.166.12,ÿ1.166.15
package;@squawk/flightplan;ÿ0.5.2,ÿ0.5.3,ÿ0.5.4,ÿ0.5.5
package;@squawk/airports;ÿ0.6.2,ÿ0.6.3,ÿ0.6.4,ÿ0.6.5
package;@mesadev/sdk;ÿ0.28.3
package;@squawk/geo;ÿ0.4.4,ÿ0.4.5,ÿ0.4.6,ÿ0.4.7
package;@mesadev/rest;ÿ0.28.3
package;@squawk/procedure-data;ÿ0.7.3,ÿ0.7.4,ÿ0.7.5,ÿ0.7.6
package;@squawk/navaid-data;ÿ0.6.4,ÿ0.6.5,ÿ0.6.6,ÿ0.6.7
package;@squawk/fix-data;ÿ0.6.4,ÿ0.6.5,ÿ0.6.6,ÿ0.6.7
package;@squawk/navaids;ÿ0.4.2,ÿ0.4.3,ÿ0.4.4,ÿ0.4.5
package;@squawk/fixes;ÿ0.3.2,ÿ0.3.3,ÿ0.3.4,ÿ0.3.5
package;@squawk/airport-data;ÿ0.7.4,ÿ0.7.5,ÿ0.7.6,ÿ0.7.7
package;@squawk/airway-data;ÿ0.5.4,ÿ0.5.5,ÿ0.5.6,ÿ0.5.7
package;@squawk/units;ÿ0.4.3,ÿ0.4.4,ÿ0.4.5,ÿ0.4.6
package;@squawk/procedures;ÿ0.5.2,ÿ0.5.3,ÿ0.5.4,ÿ0.5.5
package;@squawk/airways;ÿ0.4.2,ÿ0.4.3,ÿ0.4.4,ÿ0.4.5
package;@squawk/icao-registry;ÿ0.5.2,ÿ0.5.3,ÿ0.5.4,ÿ0.5.5
package;@uipath/apollo-core;ÿ5.9.2
package;@squawk/notams;ÿ0.3.6,ÿ0.3.7,ÿ0.3.8,ÿ0.3.9
package;@uipath/filesystem;ÿ1.0.1
package;@uipath/solutionpackager-tool-core;ÿ0.0.34
package;@squawk/flight-math;ÿ0.5.4,ÿ0.5.5,ÿ0.5.6,ÿ0.5.7
package;@squawk/airspace-data;ÿ0.5.3,ÿ0.5.4,ÿ0.5.5,ÿ0.5.6
package;@mistralai/mistralai-azure;ÿ1.7.1,ÿ1.7.2,ÿ1.7.3
package;@uipath/solution-tool;ÿ1.0.1
package;@tanstack/eslint-plugin-start;ÿ0.0.4,ÿ0.0.7
package;@uipath/maestro-tool;ÿ1.0.1
