type;iocs;Verions;Date;Reference
package;@tanstack/history;ÿ1.161.9,ÿ1.161.12;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/react-router;ÿ1.169.5,ÿ1.169.8;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/router-core;ÿ1.169.5,ÿ1.169.8;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/router-utils;ÿ1.161.11,ÿ1.161.14;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/router-plugin;ÿ1.167.38,ÿ1.167.41;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/virtual-file-routes;ÿ1.161.10,ÿ1.161.13;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/router-generator;ÿ1.166.45,ÿ1.166.48;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/start-server-core;ÿ1.167.33,ÿ1.167.36;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/start-client-core;ÿ1.168.5,ÿ1.168.8;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/start-storage-context;ÿ1.166.38,ÿ1.166.41;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/start-plugin-core;ÿ1.169.23,ÿ1.169.26;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/react-start-server;ÿ1.166.55,ÿ1.166.58;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/react-start-client;ÿ1.166.51,ÿ1.166.54;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/start-fn-stubs;ÿ1.161.9,ÿ1.161.12;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/react-start;ÿ1.167.68,ÿ1.167.71;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
