Type,Artifacts,Package,Version,Date,Reference
package,@tanstack/history@1.161.9,@tanstack/history,1.161.9,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/react-router@1.169.5,@tanstack/react-router,1.169.5,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-core@1.169.5,@tanstack/router-core,1.169.5,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-utils@1.161.11,@tanstack/router-utils,1.161.11,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-plugin@1.167.38,@tanstack/router-plugin,1.167.38,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/virtual-file-routes@1.161.10,@tanstack/virtual-file-routes,1.161.10,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-generator@1.166.45,@tanstack/router-generator,1.166.45,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/start-server-core@1.167.33,@tanstack/start-server-core,1.167.33,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/start-client-core@1.168.5,@tanstack/start-client-core,1.168.5,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/start-storage-context@1.166.38,@tanstack/start-storage-context,1.166.38,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/start-plugin-core@1.169.23,@tanstack/start-plugin-core,1.169.23,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/react-start-server@1.166.55,@tanstack/react-start-server,1.166.55,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/react-start-client@1.166.51,@tanstack/react-start-client,1.166.51,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/start-fn-stubs@1.161.9,@tanstack/start-fn-stubs,1.161.9,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/react-start@1.167.68,@tanstack/react-start,1.167.68,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/react-start-rsc@0.0.47,@tanstack/react-start-rsc,0.0.47,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@mistralai/mistralai@2.2.2,@mistralai/mistralai,2.2.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/react-router-devtools@1.166.16,@tanstack/react-router-devtools,1.166.16,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-devtools-core@1.167.6,@tanstack/router-devtools-core,1.167.6,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-devtools@1.166.16,@tanstack/router-devtools,1.166.16,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-ssr-query-core@1.168.3,@tanstack/router-ssr-query-core,1.168.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/react-router-ssr-query@1.166.15,@tanstack/react-router-ssr-query,1.166.15,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-cli@1.166.46,@tanstack/router-cli,1.166.46,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/zod-adapter@1.166.12,@tanstack/zod-adapter,1.166.12,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/eslint-plugin-router@1.161.9,@tanstack/eslint-plugin-router,1.161.9,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/router-vite-plugin@1.166.53,@tanstack/router-vite-plugin,1.166.53,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/nitro-v2-vite-plugin@1.154.12,@tanstack/nitro-v2-vite-plugin,1.154.12,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
